Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,AGE,BMI,PATIENT,Diastolic Blood Pressure,Glucose,Hemoglobin A1c/Hemoglobin.total in Blood,Systolic Blood Pressure,Body Height,Body Weight,fev1_fvc,respiratory_rate,oxygen,carbon_dioxide,smoking,dyspnea,wheezing,cough,systolic_bp,diastolic_bp,cholesterol,ldl,hdl,triglycerides,troponin,creatinine,bmi,glucose,crp,nt_probnp,lvef,copd_chronic_obstructive_bronchitis,copd_pulmonary_emphysema,copd_hypoxemia,copd_respiratory_distress,copd_pneumonia,cvd_hypertension,cvd_heart_failure,cvd_ischemic_heart_disease,cvd_atrial_fibrillation,cvd_metabolic_syndrome,cvd_hyperlipidemia,cvd_diabetes,has_diabetes,diabetes_risk_score,has_copd,copd_risk_score,has_cvd,cvd_risk_score
82340b68-7f78-8d50-15ba-0396be76a381,2000-07-27,,999-82-6124,S99967252,X4157430X,Mr.,Zackary401,,Lehner980,,,,white,nonhispanic,M,Encinitas  California  US,427 Lemke Hollow,Bakersfield,California,Kern County,6029.0,93306,35.13865465995054,-118.8231036219739,5046.91,115833.08,11774,25,24.582175664431418,82340b68-7f78-8d50-15ba-0396be76a381,72.14285714285714,84.5,5.9,128.28571428571428,166.61666666666667,68.24285714285715,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.165,0,0.137,1,0.898
44a8ca45-6c6e-38bb-fac0-ddbf7a7ee3a4,1988-05-02,,999-51-4389,S99969703,X73857135X,Mr.,Rudolf736,Angelo118,Rohan584,JD,,M,white,nonhispanic,M,Irvine  California  US,110 Johns Wall Suite 79,Ben Lomond,California,Santa Cruz County,6087.0,95005,37.11559400865473,-122.08517820168392,90671.68,24346.01,432486,37,24.79183673469388,44a8ca45-6c6e-38bb-fac0-ddbf7a7ee3a4,83.5,84.5,6.1,100.0,175.0,75.925,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.307,0,0.403,1,0.958
4113255f-4e35-506a-ddef-4429caa17ffc,1962-02-06,,999-88-1434,S99972741,X57443561X,Mrs.,Rasheeda241,Mirian768,Gleason633,,Heaney114,D,white,nonhispanic,F,Boyes Hot Springs  California  US,946 Carroll Arcade Suite 20,Los Angeles,California,Los Angeles County,6037.0,90045,34.134192236551335,-118.49773037454298,940900.69,683712.39,45680,63,36.86590718284389,4113255f-4e35-506a-ddef-4429caa17ffc,90.97142857142858,84.5,3.3513513513513518,139.97142857142856,178.3,117.2,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.932,0,0.727,1,0.999
6b060c17-b5af-82b5-0417-38644cf1fef5,1966-02-25,,999-32-3520,S99939851,X64549538X,Mr.,Joaquín233,Lucas404,Regalado83,,,D,black,hispanic,M,San Jose  San Jose  CR,129 Brakus Burg,Fontana,California,San Bernardino County,6071.0,91739,34.116345053968594,-117.49638373555412,187546.41,64024.83,70549,59,27.802689440455755,6b060c17-b5af-82b5-0417-38644cf1fef5,79.1,84.5,6.1,137.3,177.2,87.3,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.661,0,0.584,1,0.989
051d4955-5c13-d470-bc63-1ab94b6e5438,1973-06-09,,999-11-2895,S99934208,X85188056X,Mr.,Stanford577,Korey682,Jacobs452,,,M,white,hispanic,M,Los Angeles  California  US,201 Ritchie Esplanade,Avenal,California,Kings County,6031.0,93239,35.89494082712591,-119.63181276301948,12843.07,266446.36,3229,52,27.553100284245303,051d4955-5c13-d470-bc63-1ab94b6e5438,72.3076923076923,84.5,6.778571428571429,106.76923076923076,166.3,76.2,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.419,0,0.598,1,0.996
4b9c1991-8733-d3f6-777d-6310b5dd7af2,1969-01-06,,999-36-6696,S99936421,X89295622X,Mrs.,Delia459,Kathyrn611,Labadie908,,Pagac496,M,asian,hispanic,F,Santa Clara  California  US,1062 Hegmann Row Apt 57,Fresno,California,Fresno County,6019.0,93706,36.75009277826428,-119.77389264048178,165113.59,993406.65,31206,56,30.095158171067176,4b9c1991-8733-d3f6-777d-6310b5dd7af2,83.14285714285714,84.5,6.145454545454545,106.21428571428572,179.9,97.4,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.637,0,0.648,1,0.998
6c434506-fb4b-3e3f-c19d-553dec3b6c17,1961-04-12,,999-44-3322,S99954873,X74906633X,Mrs.,Claudia969,,Monroy712,,Pacheco179,M,asian,hispanic,F,La Paz  Baja California  MX,625 Doyle Row,Sacramento,California,Sacramento County,6067.0,95818,38.535446317411456,-121.35736776420649,29305.24,2523280.57,5779,64,27.6253619875019,6c434506-fb4b-3e3f-c19d-553dec3b6c17,76.5,84.5,6.1,112.5,162.0,72.5,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0.654,0,0.737,1,0.999
7ac6b3c7-cdd7-23c4-52bf-a6cd4440a9d6,1975-01-20,,999-44-4295,S99978451,X84381354X,Mrs.,Norma469,Esperanza675,Vélez150,,Esquibel766,M,white,hispanic,F,Caguas  Puerto Rico  PR,788 Reynolds Mall,Turlock,California,Stanislaus County,6099.0,95382,37.53826039606934,-120.87565773180366,396063.34,914291.8,69914,50,29.83835439468449,7ac6b3c7-cdd7-23c4-52bf-a6cd4440a9d6,68.22222222222223,84.5,6.155555555555555,111.88888888888889,172.9,89.2,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.497,1,0.573,1,0.995
12e6dd54-169a-78f9-02f0-e7e41b07b0eb,2005-10-06,,999-85-8101,S99969231,,Ms.,Kandi717,Tran115,Romaguera67,,,,white,nonhispanic,F,San Marino  California  US,672 Koelpin Glen,Woodland,California,Yolo County,6113.0,95695,38.66004436093744,-121.7407565116409,41012.65,47910.15,98212,20,20.61734217260462,12e6dd54-169a-78f9-02f0-e7e41b07b0eb,75.9090909090909,84.5,6.1,121.0,151.29090909090908,47.190909090909095,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.066,0,0.152,1,0.314
a1030ac8-5dfc-564d-ac00-3e6bc03d6471,1965-10-09,,999-92-3973,S99983172,X72050349X,Mrs.,Sabrina514,Andrew29,Harber290,,Lockman863,D,white,nonhispanic,F,Pleasant Hill  California  US,833 Boyle Light Apt 49,Santa Ana,California,Orange County,6059.0,92868,33.70929620023944,-117.85473768116078,806149.73,165964.18,48846,60,27.15580996364188,a1030ac8-5dfc-564d-ac00-3e6bc03d6471,67.66666666666667,84.5,6.11,85.11111111111111,151.1,62.0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.495,0,0.503,1,1.0
a832f5fa-07a9-e8ef-dc1a-8df6376be9cf,1985-03-07,,999-53-3586,S99936168,X68684087X,Mr.,Korey682,Fred155,Howell947,,,D,asian,nonhispanic,M,San Diego  California  US,542 Connelly Dam Suite 86,San Diego,California,San Diego County,6073.0,92103,32.6096840762082,-116.971407591123,111998.04,60729.71,147544,40,29.390594257438405,a832f5fa-07a9-e8ef-dc1a-8df6376be9cf,82.4,84.5,6.16,107.4,178.6,93.75,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.405,0,0.441,1,0.974
e468e3f0-9c9c-5374-b953-db1ba26c9617,2006-09-18,,999-43-9141,S99920020,,Ms.,Towanda270,Darla154,Harvey63,,,,white,nonhispanic,F,Reedley  California  US,418 Grimes Path,Los Angeles,California,Los Angeles County,6037.0,90018,34.10506505050679,-118.41202546693044,81509.82,40472.07,50734,19,21.61474888747616,e468e3f0-9c9c-5374-b953-db1ba26c9617,84.26666666666667,84.5,6.1,125.65833333333336,143.0,44.2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0.07,0,0.435
73c66565-1b7f-5b57-4029-83de693606a4,1996-04-20,,999-29-2923,S99964260,X81382215X,Mrs.,Lia388,Lashon823,Abernathy524,,Rosenbaum794,M,white,nonhispanic,F,San Francisco  California  US,1073 Wunsch Quay Suite 85,La Habra,California,Orange County,6059.0,92835,33.89059853588307,-117.96407200745963,159976.84,1179967.03,47115,29,23.4698224852071,73c66565-1b7f-5b57-4029-83de693606a4,81.75,84.5,6.1,112.5,162.5,61.975,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.173,0,0.223,1,0.661
a6484a82-73f6-a4cf-09e0-9bdf9777d004,1968-07-29,,999-21-4095,S99979050,X77175067X,Mrs.,Virgil85,Debbi640,Hamill307,,Schaefer657,W,white,nonhispanic,F,Sacramento  California  US,412 Eichmann Tunnel,Moreno Valley,California,Riverside County,6065.0,92553,33.99682228868792,-117.2893856289568,283687.3,250755.35,38068,57,29.097959652220727,a6484a82-73f6-a4cf-09e0-9bdf9777d004,87.9,84.5,6.21,141.1,166.7,80.85999999999999,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.649,0,0.66,1,0.998
e0b758ad-b2b3-8de6-ea86-e7cfb37eeaa4,1948-05-30,,999-90-9896,S99959192,X68513215X,Mrs.,Shandra823,Elly836,Langosh790,,Parisian75,M,white,hispanic,F,San Francisco  California  US,355 Kulas Passage Apt 81,Hawthorne,California,Los Angeles County,6037.0,90260,33.92178301307071,-118.35700522799549,1250743.48,772701.84,45097,77,29.658514661752957,e0b758ad-b2b3-8de6-ea86-e7cfb37eeaa4,75.77777777777777,84.5,6.1,107.11111111111111,153.8,70.15555555555555,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.801,0,0.848,1,1.0
b29d5c39-026f-83b0-9e74-963143634b97,2002-07-02,,999-48-6275,S99922559,X53234099X,Mr.,Marc757,Jamie386,Batz141,,,,hawaiian,nonhispanic,M,San Diego  California  US,344 Waters Way,Twentynine Palms,California,San Bernardino County,6071.0,92277,34.24432010923632,-116.03035741456874,84112.56,0.0,80366,23,26.38393066727494,b29d5c39-026f-83b0-9e74-963143634b97,82.125,84.5,6.1,112.5,173.3125,79.25,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0.173,0,0.426
2b440c6c-29db-af6a-02a2-30a13411bf78,1984-01-02,,999-48-8318,S99911530,X86859833X,Mr.,Noah480,Micah422,Weber641,,,M,white,nonhispanic,M,Taft  California  US,611 Grant Trafficway,Torrance,California,Los Angeles County,6037.0,90503,33.866665157637456,-118.3666485453354,113351.18,16922.49,156762,41,29.850093785306107,2b440c6c-29db-af6a-02a2-30a13411bf78,96.0,84.5,6.133333333333333,115.55555555555556,178.1,94.68333333333334,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.478,0,0.454,1,0.977
d9fb22dd-45ab-41e3-7c6c-393d74805e67,1953-12-26,,999-94-7134,S99931245,X3177358X,Ms.,Mari763,Thora330,Fadel536,,,S,black,nonhispanic,F,Rancho Cucamonga  California  US,291 Wintheiser Dam Apt 49,Corona,California,Riverside County,6065.0,92860,33.79207304722319,-117.55296504887082,848262.5,940768.39,35382,71,27.57826158410989,d9fb22dd-45ab-41e3-7c6c-393d74805e67,95.41666666666669,84.5,5.392307692307692,133.0,173.9,83.4,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.856,0,0.803,1,1.0
9cb5a91e-6d01-1996-6b45-a6ddd9b7076c,1996-12-01,,999-22-7778,S99950935,X2163082X,Mr.,Miguel Ángel46,José Emilio366,Robles531,,,S,white,hispanic,M,La Paz  Baja California  MX,1026 Huels Boulevard,San Diego,California,San Diego County,6073.0,92111,32.78112320195534,-117.19988692216376,119753.82,16559.87,969207,29,21.94594424914275,9cb5a91e-6d01-1996-6b45-a6ddd9b7076c,73.0,84.5,6.1,101.5,190.15,79.35,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0.223,0,0.661
54a6f9f9-8f70-4897-015c-3762e169e70f,2000-08-26,,999-85-7848,S99948205,X52469961X,Mr.,Jc393,Demarcus108,Leffler128,,,,white,nonhispanic,M,Seaside  California  US,246 Ondricka Glen,Los Angeles,California,Los Angeles County,6037.0,90016,34.08060741113242,-118.45898596700584,32215.89,830727.03,41602,25,23.83733639708152,54a6f9f9-8f70-4897-015c-3762e169e70f,73.88888888888889,84.5,5.85,103.11111111111111,180.23333333333332,77.43333333333334,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.187,0,0.263,1,0.898
fb00b97e-91b2-234e-4c91-09276b3d8366,2012-03-30,,999-48-1687,,,,Kristina583,Joi660,Pfeffer420,,,,white,nonhispanic,F,Fresno  California  US,862 Kris Gateway,Stockton,California,San Joaquin County,6077.0,95210,37.9838733296254,-121.28113360524532,2746.78,52201.46,11612,13,14.845131294524004,fb00b97e-91b2-234e-4c91-09276b3d8366,85.0,84.5,6.1,125.0909090909091,136.84545454545454,27.8,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0.11,0,0.129
3cb00951-f5a6-8180-00d2-ae0322d2ea7d,1971-02-06,,999-42-7034,S99929125,X9874637X,Mr.,Colton403,Randall756,Gislason620,,,S,white,nonhispanic,M,Salinas  California  US,420 Kovacek Rue Suite 62,Bakersfield,California,Kern County,6029.0,93311,35.33671145887733,-119.05388389282037,19219.89,390430.94,5321,54,27.43651941133749,3cb00951-f5a6-8180-00d2-ae0322d2ea7d,86.4,84.5,6.900000000000001,116.7,184.9,93.8,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.538,0,0.623,1,0.997
aeb6fd40-c0da-23a8-7b46-6c9fe558d7b2,2021-12-05,,999-22-1245,,,,María del Carmen27,Inés791,Garay400,,,,white,hispanic,F,Gaudalajara  Jalisco  MX,934 Schamberger Route,San Diego,California,San Diego County,6073.0,92134,32.67926556722606,-117.15965437755452,757.33,10158.6,15181,3,17.96250616910378,aeb6fd40-c0da-23a8-7b46-6c9fe558d7b2,73.83333333333333,84.5,6.1,109.83333333333331,75.325,10.191666666666666,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.068,0,0.029
927591b5-4bc8-e55e-96c0-5272b9b14304,1960-09-17,,999-52-9068,S99955926,X77095036X,Mr.,Chris95,Barney639,Gutmann970,,,D,white,hispanic,M,Rancho Cordova  California  US,939 Lebsack Lodge Suite 96,Chino Hills,California,San Bernardino County,6071.0,91710,34.00022808435785,-117.6764450737785,80275.26,382817.8,363895,65,29.290530120986723,927591b5-4bc8-e55e-96c0-5272b9b14304,75.92857142857143,84.5,6.1,115.5,175.9,90.62727272727274,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.722,1,0.659,1,0.996
229a1e6d-1714-f0cd-8253-a8729632291e,1964-02-14,,999-53-4027,S99964713,X76707802X,Mr.,Rey54,Roman389,Treutel973,,,M,white,nonhispanic,M,Riverside  California  US,318 Pacocha Drive,Los Angeles,California,Los Angeles County,6037.0,90056,34.04212141895269,-118.45585242985204,50517.37,192615.75,38346,61,27.39987133973459,229a1e6d-1714-f0cd-8253-a8729632291e,80.35714285714286,84.5,6.214285714285714,108.07142857142856,178.59999999999997,87.4,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0.657,0,0.706,1,0.999
04aed233-eb0d-7fdc-e583-ef2008dfa1fa,1955-12-24,,999-41-8495,S99979983,X70210916X,Mrs.,Luis923,Hollie21,Watsica258,,Corwin846,W,white,nonhispanic,F,San Francisco  California  US,596 Bechtelar Mall,Hayward,California,Alameda County,6001.0,94552,37.85020349012191,-121.85441129620564,1129739.76,701115.97,47252,69,28.25088757396449,04aed233-eb0d-7fdc-e583-ef2008dfa1fa,60.53333333333333,84.5,6.1,95.26666666666668,162.5,74.6,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0.669,0,0.619,1,1.0
801f9570-e398-cfde-9c80-2381c03ab30e,2022-10-12,,999-39-5076,,,,Ernest565,Rhett759,Gorczany269,,,,white,hispanic,M,Riverside  California  US,632 Batz Common Unit 53,Bakersfield,California,Kern County,6029.0,93314,35.33793292613571,-118.99945830334669,13796.43,0.0,69740,3,21.507780301937483,801f9570-e398-cfde-9c80-2381c03ab30e,67.63636363636364,84.5,6.1,118.8181818181818,77.30909090909091,12.854545454545455,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.068,0,0.029
e5b40b82-031b-610f-787e-2a4242efcfea,2015-12-29,,999-80-5043,,,,Romaine793,,Brakus656,,,,white,nonhispanic,F,Sunnyvale  California  US,203 Ortiz Wall Suite 23,Mira Monte,California,Ventura County,,0,34.4708253512207,-119.28930042645982,15115.68,39481.45,57181,9,17.421688775846423,e5b40b82-031b-610f-787e-2a4242efcfea,76.55,84.5,6.1,127.15,89.995,14.11,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.091,0,0.072
abc45bec-b36e-3f75-e1d9-8773646608f3,1969-10-19,,999-47-1555,S99998176,X89231090X,Mrs.,Marcela739,,Salinas3,,Barela183,M,asian,hispanic,F,La Paz  Baja California  MX,486 Simonis Parade Suite 41,Sacramento,California,Sacramento County,6067.0,95864,38.63430882675248,-121.41006280967495,877380.56,654402.92,89243,56,30.449826989619385,abc45bec-b36e-3f75-e1d9-8773646608f3,112.6,84.5,6.1,135.3,170.0,88.0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.738,0,0.545,1,0.983
3237ddd9-55c0-a584-90cc-83b1d1ae39bf,2018-10-10,,999-31-2229,,,,Concepción765,María del Carmen27,Razo972,,,,asian,hispanic,F,Carolina  Puerto Rico  PR,187 Emmerich Parade,Parlier,California,Fresno County,6019.0,93648,36.64838436486959,-119.47132407985396,1300.0,20077.84,15648,7,15.667960928920314,3237ddd9-55c0-a584-90cc-83b1d1ae39bf,80.0,84.5,6.1,94.47058823529412,85.54117647058824,11.46470588235294,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.083,0,0.053
